PULocationID,puhour,mean_hour,sd_hour
14,22,1.5431472081218274,0.7722325464328909
14,23,1.6292134831460674,0.9493622298327425
15,0,1.0,0.0
15,1,1.0,0.0
15,2,1.0,0.0
15,3,1.0,0.0
15,4,1.0,0.0
15,5,1.0,0.0
15,6,1.0666666666666667,0.2537081317024625
15,7,1.103448275862069,0.30720329701800003
15,8,1.1587301587301588,0.40981306542362694
15,9,1.178082191780822,0.4516164102859569
15,10,1.08,0.27312011019804927
15,11,1.125,0.37796447300922725
15,12,1.1282051282051282,0.373087307736593
15,13,1.180952380952381,0.45533065713391996
15,14,1.1081081081081081,0.3148000938676784
15,15,1.0952380952380953,0.2971017571861746
15,16,1.0666666666666667,0.25226248955475655
15,17,1.037037037037037,0.19245008972987526
15,18,1.1538461538461537,0.46409548089225705
15,19,1.05,0.22360679774997896
15,20,1.0454545454545454,0.21320071635561041
15,21,1.1,0.3162277660168379
15,22,1.0625,0.24999999999999997
15,23,1.0909090909090908,0.30151134457776363
16,0,1.0909090909090908,0.38435305739290365
16,1,1.0833333333333333,0.2823298512866399
16,2,1.2222222222222223,0.5063696835418333
16,3,1.0,0.0
16,4,1.3181818181818181,0.5679003631895497
16,5,1.0952380952380953,0.30079260375911915
16,6,1.0555555555555556,0.2323106841457232
16,7,1.12,0.3271498540837624
16,8,1.168421052631579,0.4290670626288188
16,9,1.1566265060240963,0.42718385003167797
16,10,1.2061855670103092,0.47736569511523574
16,11,1.1647058823529413,0.4037638048216229
16,12,1.139240506329114,0.38344515253797196
16,13,1.2254901960784315,0.48557127211046075
16,14,1.1176470588235294,0.3241018617760823
16,15,1.293103448275862,0.4937389096926914
16,16,1.1012658227848102,0.3036080768519887
16,17,1.06,0.2398979374820952
16,18,1.0754716981132075,0.2666787612158108
16,19,1.0555555555555556,0.23121228232266414
16,20,1.0793650793650793,0.2724789013191782
16,21,1.075,0.2667467828369185
16,22,1.1578947368421053,0.5465526254661879
16,23,1.2115384615384615,0.5717718748968657
17,0,4.994334277620396,2.964749658178292
17,1,3.832844574780059,2.688467823414789
17,2,3.3049180327868855,2.6807320674773485
17,3,2.847826086956522,2.417819224502018
17,4,3.102112676056338,2.534593681862159
17,5,2.012396694214876,1.324776360860987
17,6,1.7394957983193278,0.997568223602659
17,7,1.9446640316205535,1.1568040546282317
17,8,2.2127659574468086,1.2502441648412297
17,9,2.068100358422939,1.26619877113408
17,10,2.0377358490566038,1.1896374567257142
17,11,2.040160642570281,1.2371898333591849
17,12,1.8127340823970037,1.0344383971233115
17,13,2.088339222614841,1.3352710026348236
17,14,2.0755395683453237,1.2068003299364936
17,15,2.097826086956522,1.2065860111784577
17,16,1.75,0.9821944218702024
17,17,1.9182879377431907,1.2010477956322123
17,18,2.5353535353535355,1.6500192339980382
17,19,2.7096774193548385,1.9934122634917426
17,20,2.78698224852071,1.629351258908435
17,21,3.540462427745665,2.0358621903273617
17,22,5.011080332409972,2.8953773879286926
17,23,5.490196078431373,2.9883743308395174
18,0,1.1594202898550725,0.5036101551853348
18,1,1.1272727272727272,0.38751561280592317
18,2,1.1481481481481481,0.40782013272628326
18,3,1.2444444444444445,0.9571633173923957
18,4,1.148936170212766,0.415918230062181
18,5,1.0851063829787233,0.2820566728469694
18,6,1.2767857142857142,0.5883221129814078
